indicator_id,name,geo_type_name,measure,geo_join_id,data_value
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),105,167.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),106,188.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),107,194.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),201,27.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),202,46.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),203,124.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),204,118.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),205,34.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),206,15.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),207,84.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),208,61.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),209,16.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),210,31.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),211,107.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),301,81.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),302,193.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),303,215.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),304,51.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),305,18.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),306,53.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),307,44.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),308,14.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),309,102.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),310,35.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),401,46.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),402,60.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),403,29.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),404,12.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),405,32.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),406,36.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),407,43
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),408,69.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),409,39.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),410,55
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),501,66.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),502,49.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),503,18.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),504,13.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),504,11
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),503,15
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),502,49
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),501,58
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),410,46
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),409,35
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),408,59
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),407,38
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),406,34
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),405,24
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),404,10
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),403,25
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),402,51
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),401,42
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),310,33
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),309,90
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),308,14
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),307,35
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),306,50
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),305,16
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),304,40
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),303,160
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),302,138
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),301,62
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),211,88
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),210,30
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),209,14
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),208,55
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),207,75
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),206,14
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),205,33
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),204,99
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),203,107
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),202,43
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),201,21
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),107,147
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),106,138
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),105,119
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),104,80
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),103,112
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),102,81
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),101,48
